tax_id	scientific_name	type	is_metagenome
2528252	Thermodesulfobacteriaceae bacterium		0
2033014	Armatimonadota bacterium		0
2026763	Myxococcales bacterium		0
2026734	Dehalococcoidia bacterium		0
2053541	Cytophagales bacterium		0
2026742	Gemmatimonadota bacterium		0
1936112	Fuerstiella sp.		0
2932367	Candidatus Manganitrophaceae bacterium		0
41211	Desulfotomaculum sp.		0
2528248	Desulfarculaceae bacterium		0
2026801	Verrucomicrobiales bacterium		0
2173149	Marine Group III euryarchaeote		0
3121606	Candidatus Aenigmatarchaeota archaeon		0
2026714	Candidatus Bathyarchaeota archaeon		0
2039724	Thiomicrorhabdus sp.		0
2528704	Pyrodictiaceae archaeon		0
2202151	Aquificota bacterium		0
1969726	Sulfurovum sp.		0
1933926	Methylococcaceae bacterium		0
1898104	Bacteroidota bacterium		0
2053509	Candidatus Atribacteria bacterium		0
1583376	cold seep metagenome	ecological metagenomes	1
1609976	Spiroplasma sp. hyd1		0
62718	Phyllactinia taurica		0
2034148	canine metagenome	organismal metagenomes	1
1646512	riverine metagenome	ecological metagenomes	1
1588881	shrimp gut metagenome	organismal metagenomes	1
4577	Zea mays		0
4545	Poa pratensis		0
3693	Populus tremuloides		0
1427524	mixed sample		0
1799687	steel metagenome	ecological metagenomes	1
89184	Ruegeria pomeroyi		0
910258	bee metagenome	organismal metagenomes	1
2736206	Desmodus rotundus betaherpesvirus		0
1897453	tar pit metagenome	ecological metagenomes	1
59277	Methanobacterium subterraneum		0
69300	Gazella bennettii		0
27675	Choloepus didactylus		0
323367	Heteromys desmarestianus		0
9720	Phoca vitulina		0
258960			0
1233216	Lyrurus tetrix		0
34924	Pica pica		0
88116	Delichon urbicum		0
9586	Nomascus siki		0
867383	Trachypithecus hatinhensis		0
54133	Pygathrix nemaeus		0
54496	Rallus aquaticus		0
48150	Phylloscopus collybita		0
9838	Camelus dromedarius		0
127946	Turdus philomelos		0
8032	Salmo trutta		0
48668	Rutilus rutilus		0
2652173	Candidatus Nitrospira kreftii		0
1874687	marine plankton metagenome	ecological metagenomes	1
2705322	Microcoleus anatoxicus PTRS3		0
2705321	Microcoleus anatoxicus PTRS2		0
2705533	Candidatus Nitronauta litoralis		0
487	Neisseria meningitidis		0
52132	Brucella sp.		0
2046349	Cryptococcus sp. (in: basidiomycete fungi)		0
565302	Human adenovirus B1		0
1338	Streptococcus intermedius		0
732	Aggregatibacter aphrophilus		0
10310	Human alphaherpesvirus 2		0
2710826	Coprococcus sp. ART55_1		0
47714	Lacticaseibacillus paracasei subsp. paracasei		0
208479	Enterocloster bolteae		0
2710831	Parabacteroides sp. PS295		0
2710836	Subdoligranulum sp. DS28		0
1680	Bifidobacterium adolescentis		0
1685	Bifidobacterium breve		0
626933	Odoribacter laneus		0
46506	Bacteroides stercoris		0
2710846	Subdoligranulum sp. PS203		0
2710824	Alistipes sp. PS198		0
39492	[Eubacterium] siraeum		0
1318	Streptococcus parasanguinis		0
2710844	Subdoligranulum sp. PS157		0
1111120	Acidaminococcus sp. BV3L6		0
165179	Segatella copri		0
2710851	Subdoligranulum sp. PS318		0
548	Klebsiella aerogenes		0
2710830	Parabacteroides sp. PS231		0
2710847	Subdoligranulum sp. PS221		0
29361	Faecalimonas nexilis		0
39485	Lachnospira eligens		0
163665	Dysgonomonas mossii		0
2710827	Parabacteroides sp. PS008		0
221280	Candidatus Competibacter phosphatis		0
2559718	Dicyema sp. Vostok-2010		0
83154	Bassia scoparia		0
3696	Populus deltoides		0
3129013	Candidatus Mesolinea sp.		0
24	Shewanella putrefaciens		0
1463165	Klebsiella quasipneumoniae		0
2654184	Candidatus Hydrogenedens sp.		0
1263966	snow metagenome	ecological metagenomes	1
2676890	Rugalucina munda		0
34067	Cycloclasticus		0
2045305	Ghiorsea sp.		0
2212469	Calditrichota bacterium		0
1914329	Roseicyclus sp.		0
2250255	Methanosarcinales archaeon		0
1906666	Thermoplasmata archaeon		0
2358460	Nitrospirales bacterium		0
2212473	Kiritimatiellia bacterium		0
2044940	Desulfobacterales bacterium		0
1906242	Tenacibaculum sp.		0
1872435	Algoriphagus sp.		0
2026782	Porticoccaceae bacterium		0
2024830	Cycloclasticus sp.		0
2024849	Candidatus Pelagibacter sp.		0
2268179	Campylobacteraceae bacterium		0
2099675	Cyclobacteriaceae bacterium		0
2528255	Candidatus Binatota bacterium		0
2022749	Sulfurimonas sp.		0
2528828	Candidatus Stahliibacteriota bacterium		0
2026720	Candidatus Saccharimonadota bacterium		0
267	Paracoccus sp. (in: a-proteobacteria)		0
2035772	Candidatus Omnitrophota bacterium		0
1960830	Mesonia sp.		0
2250273	Candidatus Geothermarchaeota archaeon		0
2914045	Microbacterium sp. B19(2022)		0
2528249	Hydrogenothermaceae bacterium		0
2073117	Anaerolineales bacterium		0
2914044	Sphingobacterium sp. B16(2022)		0
2268197	Nitrososphaerales archaeon		0
2268180	Campylobacterales bacterium		0
2024843	Candidatus Nitrosopumilus sp.		0
2480820	Kiloniellaceae bacterium		0
2052180	Phycisphaerales bacterium		0
2021960	Metopus sp. SalKaluz		0
2716605	Muranothrix gubernata		0
